legacy_display_id,network_number,network_code_candidate,network_name_en,axis_label_from_file,suggested_axis_code,suggested_axis_name,axis_confidence,CONFIRM_axis_code,derived_domain_code,derived_domain_name,(domain auto-derives from CONFIRM_axis),scope
N140,140,LBN-140,Cardio–Pulmonary Oxygen Delivery Network,Cardio–Pulmonary Integration,,,0.0,,,,derived,การบูรณาการปอด หัวใจ เลือด และหลอดเลือดเพื่อส่ง oxygen ไปยัง tissue และ mitochondria
N141,141,LBN-141,Muscle Protein Turnover Network,Muscle Integrity,A28,Muscle Protein Turnover,0.25,,D8,Musculoskeletal & Structural Integrity,derived,"สมดุล muscle protein synthesis/breakdown, mTOR, ubiquitin-proteasome, sarcopenia และ muscle wasting"
N142,142,LBN-142,Myogenesis Network,Muscle Regeneration,A28,Muscle Protein Turnover,0.25,,D8,Musculoskeletal & Structural Integrity,derived,"satellite cell activation, myoblast differentiation, muscle repair หลัง injury, aging หรือ inflammation"
N143,143,LBN-143,Bone Remodeling Network,Bone Remodeling,A29,Bone Remodeling,1.0,,D8,Musculoskeletal & Structural Integrity,derived,"สมดุล osteoblast–osteoclast, bone formation/resorption, osteoporosis และ bone–immune interaction"
N144,144,LBN-144,Bone Mineral Homeostasis Network,Mineral Homeostasis,A2,Immune Homeostasis,0.33,,D1,Immune–Infection Governance,derived,"ควบคุม calcium, phosphate, vitamin D, PTH, magnesium และ mineralization ของกระดูก"
N145,145,LBN-145,Cartilage Matrix Network,Cartilage Matrix,,,0.0,,,,derived,"chondrocyte, collagen II, aggrecan, MMPs, cartilage degradation และ osteoarthritis progression"
N146,146,LBN-146,Synovial Joint Homeostasis Network,Joint Homeostasis,A2,Immune Homeostasis,0.33,,D1,Immune–Infection Governance,derived,"synovial fluid, joint lubrication, synovial inflammation, pain mediator และข้อเสื่อม"
N147,147,LBN-147,Tendon–Ligament Integrity Network,Tendon–Ligament Integrity,A30,Connective Tissue Integrity,0.2,,D8,Musculoskeletal & Structural Integrity,derived,"collagen alignment, tendon ECM, ligament resilience, stiffness, injury repair และ chronic tendinopathy"
N148,148,LBN-148,Fascial Communication Network,Fascia–Mechanics,,,0.0,,,,derived,"fascia sliding, mechanotransduction, force transmission, myofascial pain และ structural connectivity"
N149,149,LBN-149,Skin Barrier & Repair Network,Skin Integrity,A30,Connective Tissue Integrity,0.25,,D8,Musculoskeletal & Structural Integrity,derived,"epidermal barrier, antimicrobial defense, wound healing, collagen remodeling และ inflammatory skin disorders"
N150,150,LBN-150,Lymphatic Clearance Network,Lymphatic Drainage,,,0.0,,,,derived,"lymph flow, interstitial fluid drainage, immune trafficking, edema resolution และ toxin clearance"
N151,151,LBN-151,Cell Cycle Control Network,Cell Cycle Control,A26,Stem Cell & Hematopoiesis,0.2,,D7,Repair–Regeneration,derived,"cyclin, CDK, checkpoint G1/S/G2/M, uncontrolled proliferation และ cancer initiation"
N152,152,LBN-152,Tumor Suppressor Network,Tumor Suppression,A38,Tumor Microenvironment & Metastatic Dynamics,0.2,,D12,Oncology & System-Level Regulation,derived,"p53, RB, PTEN, APC, DNA checkpoint และการหยุดเซลล์ผิดปกติก่อนเกิด malignancy"
N153,153,LBN-153,Apoptosis Execution Network,Apoptosis,,,0.0,,,,derived,"intrinsic/extrinsic apoptosis, caspase cascade, mitochondrial apoptosis และ cancer cell clearance"
N154,154,LBN-154,Cancer Stem Cell Network,Cancer Stemness,,,0.0,,,,derived,"self-renewal, tumor initiation, recurrence, drug resistance และ stem-like phenotype"
N155,155,LBN-155,Tumor Microenvironment Network,Tumor Microenvironment,A38,Tumor Microenvironment & Metastatic Dynamics,0.5,,D12,Oncology & System-Level Regulation,derived,"CAF, stromal cells, ECM, hypoxia, inflammatory niche และ immune suppression รอบก้อนมะเร็ง"
N156,156,LBN-156,Anti-Cancer Immune Surveillance Network,Immune Surveillance,A2,Immune Homeostasis,0.33,,D1,Immune–Infection Governance,derived,"NK cell, CD8 T cell, dendritic cell, antigen presentation และ tumor elimination"
N157,157,LBN-157,Immune Escape Network,Immune Escape,A2,Immune Homeostasis,0.33,,D1,Immune–Infection Governance,derived,"PD-1/PD-L1, CTLA-4, Treg, MDSC, immune exhaustion และ tumor immune evasion"
N158,158,LBN-158,Cancer Metabolic Reprogramming Network,Cancer Metabolism,,,0.0,,,,derived,"Warburg effect, glutamine addiction, lipid metabolism, mitochondrial rewiring และ tumor survival"
N159,159,LBN-159,EMT & Metastatic Dissemination Network,EMT–Metastasis,,,0.0,,,,derived,"epithelial–mesenchymal transition, invasion, migration, CTC survival และ organ colonization"
N160,160,LBN-160,Cancer Evolution & Resistance Network,Evolution–Resistance,,,0.0,,,,derived,"clonal selection, mutation pressure, adaptive resistance, relapse และ treatment escape"
N161,161,LBN-161,AGE Formation Network,AGE Biology,,,0.0,,,,derived,การเกิด Advanced Glycation End Products จากน้ำตาลเกินสะสมในโปรตีน ไขมัน และ DNA ส่งผลต่อหลอดเลือด ไต สมอง และ aging
N162,162,LBN-162,Carbonyl Stress Network,Carbonyl Stress,A27,Glycation / Carbonyl Stress,0.67,,D7,Repair–Regeneration,derived,การสะสม reactive carbonyl compounds ที่ทำให้เกิด protein dysfunction และ chronic degeneration
N163,163,LBN-163,Protein Crosslinking Network,Protein Damage,A28,Muscle Protein Turnover,0.25,,D8,Musculoskeletal & Structural Integrity,derived,การเชื่อมข้ามของ collagen และ protein ทำให้เนื้อเยื่อแข็ง เสื่อม และสูญเสีย elasticity
N164,164,LBN-164,Bone Marrow Hematopoietic Network,Hematopoiesis,A26,Stem Cell & Hematopoiesis,0.33,,D7,Repair–Regeneration,derived,การสร้างเม็ดเลือดแดง เม็ดเลือดขาว และเกล็ดเลือดจาก stem cell
N165,165,LBN-165,Red Blood Cell Production Network,Erythropoiesis,,,0.0,,,,derived,"การสร้าง RBC, oxygen carrying capacity และ anemia biology"
N166,166,LBN-166,White Blood Cell Renewal Network,Leukopoiesis,,,0.0,,,,derived,การสร้าง immune cells และ immune competence
N167,167,LBN-167,Platelet Renewal Network,Platelet Biology,,,0.0,,,,derived,megakaryocyte biology และ platelet turnover
N168,168,LBN-168,Retinal–Visual Network,Visual System,,,0.0,,,,derived,"retina, photoreceptor, optic nerve, visual processing และ retinal degeneration"
N169,169,LBN-169,Auditory Processing Network,Auditory System,,,0.0,,,,derived,"cochlea, hearing transduction และ auditory neural pathways"
N170,170,LBN-170,Olfactory Signaling Network,Olfactory System,,,0.0,,,,derived,กลิ่น การรับรู้สารเคมี และ neuroimmune interaction ใน nasal mucosa
N171,171,LBN-171,Taste Perception Network,Gustatory System,,,0.0,,,,derived,taste receptor biology และ nutrient sensing
N172,172,LBN-172,Ovarian Function Network,Female Reproductive Function,A20,Endothelial Function,0.25,,D6,Vascular–Circulation,derived,"folliculogenesis, ovulation, reproductive hormone production"
N173,173,LBN-173,Endometrial Cycling Network,Female Reproductive Function,A20,Endothelial Function,0.25,,D6,Vascular–Circulation,derived,"menstrual cycle, implantation biology และ uterine receptivity"
N174,174,LBN-174,Testicular Function Network,Male Reproductive Function,A20,Endothelial Function,0.25,,D6,Vascular–Circulation,derived,"spermatogenesis, testosterone production และ fertility biology"
N175,175,LBN-175,Prostate Homeostasis Network,Male Reproductive Function,A20,Endothelial Function,0.25,,D6,Vascular–Circulation,derived,"prostate physiology, inflammation และ androgen response"
N176,176,LBN-176,Oral Mucosal Defense Network,Oral–Mucosal Defense,A3,Pathogen Defense,0.25,,D1,Immune–Infection Governance,derived,"oral microbiome, salivary immunity, mucosal protection"
N177,177,LBN-177,Nasal–Sinus Defense Network,Upper Airway Defense,A3,Pathogen Defense,0.25,,D1,Immune–Infection Governance,derived,"mucociliary clearance, pathogen trapping และ airway immunity"
N178,178,LBN-178,Viral Restriction Network,Specialized Antiviral Defense,A3,Pathogen Defense,0.25,,D1,Immune–Infection Governance,derived,"interferon-stimulated genes, viral entry inhibition และ intracellular antiviral defense"
N179,179,LBN-179,Tumor Elimination Network,Specialized Anticancer Defense,A3,Pathogen Defense,0.25,,D1,Immune–Infection Governance,derived,"NK cell, macrophage, cytotoxic T cell coordination ต่อเซลล์มะเร็ง"
N180,180,LBN-180,Human Biological Integration Network,Whole-Life Integration,,,0.0,,,,derived,"การบูรณาการทุก biological networks ให้เกิด physiological performance, adaptation และ health maintenance"
