module_code,phytocore_code,module_name,registry_match,xlsx_axes,md_primary,md_secondary,md_all,xlsx_vs_md,only_in_xlsx,only_in_md,suggested_union,md_file_count,dose,contraindications,needs_review,raw_axis_text
S-00-47,TSPI-TOXIN-INFLAM-TME-IM7,IM-7 Detox & Anti-Inflammatory Capsule,IM-7 Detox & Anti-Inflammatory Capsule,A1;A2;A9;A15;A22;A24;A25;A34;A36,A1;A2;A9;A15;A22;A24;A25;A34;A36,,A1;A2;A9;A15;A22;A24;A25;A34;A36,AGREE,,,A1;A2;A9;A15;A22;A24;A25;A34;A36,1,2–4 capsules 2–3 times daily before meals.,"IM-7 works through three main mechanisms: detoxification (+anti-inflammatory), regulating the tissue microenvironment, and modulating the im",,Axis 1: Inflammation Axis 2: Immune system Axis 9: Oxidative stress Axis 15: Detoxification Axis 22: Blood / clot balance Axis 24: Wound healing Axis 25: Tissue remodeling Axis 34: Neuro calming Axis 36: Cancer / TME
S-00-47,TSPI-TOXIN-INFLAM-TME-IM7,IM-7 Detox & Anti-Inflammatory Capsule,IM-7 Detox & Anti-Inflammatory Capsule,A1;A2;A9;A15;A22;A24;A25;A34;A36,A1;A2;A9;A15;A22;A24;A25;A34;A36,,A1;A2;A9;A15;A22;A24;A25;A34;A36,AGREE,,,A1;A2;A9;A15;A22;A24;A25;A34;A36,1,2–4 capsules 2–3 times daily before meals.,"IM-7 works through three main mechanisms: detoxification (+anti-inflammatory), regulating the tissue microenvironment, and modulating the im",,Axis 1: Inflammation Axis 2: Immune system Axis 9: Oxidative stress Axis 15: Detoxification Axis 22: Blood / clot balance Axis 24: Wound healing Axis 25: Tissue remodeling Axis 34: Neuro calming Axis 36: Cancer / TME
S-00-48,TSPI-GYNO-HORMONE-CIRC-048,ANGERA Hormonal Balance Capsule,ANGERA Hormonal Balance Capsule,A3;A9;A21;A22;A24;A27;A31;A35,A3;A9;A21;A22;A24;A27;A31;A35,,A3;A9;A21;A22;A24;A27;A31;A35,AGREE,,,A3;A9;A21;A22;A24;A27;A31;A35,1,2–4 capsules 2–3 times daily before meals.,,,Axis 3: Hormone balance Axis 21: Endothelial function Axis 22: Blood circulation Axis 24: Tissue repair Axis 27: Gynecology system Axis 9: Oxidative stress                                                     Axis 31: Female Hormone                              Axis 35: Organ Resilience & Functional 
BUMINMAX PLUS,TSPI-REGEN-PEPTIDE-CORE,Buminmax Plus Bioactive Peptide Capsule,Buminmax Plus Bioactive Peptide Capsule,A7;A8;A9;A10;A11;A13;A14;A24;A25;A26;A27;A28;A29;A30;A35;A36,,,,XLSX_ONLY(no md),A7;A8;A9;A10;A11;A13;A14;A24;A25;A26;A27;A28;A29;A30;A35;A36,,A7;A8;A9;A10;A11;A13;A14;A24;A25;A26;A27;A28;A29;A30;A35;A36,0,Take 1-2 capsules 2-3 times daily on an empty stomach or before meals.,,,Axis 7: AMPK–mTOR (protein synthesis ↑) Axis 8: Mitochondrial biogenesis ↑ Axis 9: Oxidative stress ↓ Axis 10: Autophagy balance ↑ Domain 3 – Longevity Axis 11: DNA repair support Axis 13: IGF / anabolic signaling balance Axis 14: Senescence reduction Domain 6 – Repair / Regeneration Axis 24: Wound 
RIZZO-096,TSPI-RIZZO-VASCULAR-GUT-ONCO-096,Astringent–Vascular Repair–Gut Barrier–Anti-inflammatory Formula,Astringent–Vascular Repair–Gut Barrier–Anti-inflammatory Formula,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36,,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36,AGREE,,,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36,1,,,,"Axis 1: ↓ IL-6, TNF-α Axis 2: immune balance Axis 3: antimicrobial barrier Axis 4: reduce chronic inflammation DOMAIN 2: Metabolic (5–10) Axis 5: reduce glucose fluctuation Axis 6: reduce lipotoxicity Axis 7: AMPK activation Axis 8: mitochondrial protection Axis 9: ↓ ROS Axis 10: ↑ autophagy DOMAIN "
CURMINA-097,TSPI-CURMINA-DIGESTIVE-ANTIINFLAM-097,Digestive–Anti-inflammatory–Mucosal Repair Formula,Digestive–Anti-inflammatory–Mucosal Repair Formula,A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36,A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36,,A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36,AGREE,,,A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36,1,,,,DOMAIN 5: Vascular (20–23) Axis 20: endothelial inflammation ↓ Axis 21: perfusion ↑ Axis 22: coagulation balance Axis 23: vascular elasticity ↑ DOMAIN 6: Repair (24–27) Axis 24: wound healing ↑ Axis 25: fibrosis ↓ Axis 26: regeneration ↑ Axis 27: AGE ↓ DOMAIN 7: Musculoskeletal (28–30) Axis 28: prot
S-00-55,BETA G / 12-1-05-555-5-0-098,BETA G,BETA G,A1;A2;A3;A4;A18;A24;A34;A35;A36,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A18;A24;A25;A26;A27;A34;A35;A36,,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A18;A24;A25;A26;A27;A34;A35;A36,PARTIAL,,A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A25;A26;A27,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A18;A24;A25;A26;A27;A34;A35;A36,2,"2–4 capsules per dose, 2–3 times daily, after meals or as needed.","There are many immune-active herbs, including garlic and licorice, which may require caution in some individuals. Caution should be exercise",,Axis 1 — Systemic inflammatory load Axis 2 — Immune homeostasis Axis 3 — Pathogen defense Axis 4 — Post-infectious persistence / dysregulated recovery Axis 18 — Gut barrier & mucosal integrity Axis 24 — Wound healing (internal + external) Axis 34 — Neuro-sleep-stress-brain inflammation Axis 35 — Org
S-00-53,TSPI-RIZZ-096,Vascular repair formula,Vascular repair formula,A2;A20;A21;A22;A24;A25;A30;A36,A2;A20;A21;A22;A24;A25;A30;A36,,A2;A20;A21;A22;A24;A25;A30;A36,AGREE,,,A2;A20;A21;A22;A24;A25;A30;A36,1,"500 mg/capsule, 2–4 capsules/dose, 2–3 times daily.",Score: 3/10 Caution: Anticoagulants (NSAIDs),,"Reduce cytokine storm → Reduce chronic inflammation baseline. Axis 2 — Immune Homeostasis: Adjust M1/M2 macrophage balance. Axis 20 — Endothelial Function: Reduce endothelial dysfunction → Reduce vascular leakage. Axis 21 — Microcirculation: Increase capillary perfusion, reduce venous congestion. Ax"
S-00-03,TSPI-GARLICA-004,Allium sativum (garlic),Allium sativum (garlic),A1;A9;A16;A20;A21;A22;A31;A36,A1;A9;A16;A20;A21;A22;A31;A36,,A1;A9;A16;A20;A21;A22;A31;A36,AGREE,,,A1;A9;A16;A20;A21;A22;A31;A36,1,500 mg 2–3 times daily.,Risk Score 5/10,,Axis 1: Systemic inflammation ↓ Axis 9: Oxidative stress ↓ Axis 20: Endothelial function ↑ Axis 21: Microcirculation ↑ Axis 22: Thrombosis control ↓ Axis 16: Liver detox ↑ Axis 31: Immune modulation Axis 36: Tumor microenvironment
S-00-02,TSPI-RICEZOZYME-CORE,Bio Active Crystallization Technology (TSPI Patent Platform),Bio Active Crystallization Technology (TSPI Patent Platform),A1;A9;A10;A11;A17;A18;A19;A28;A29;A33,A1;A9;A10;A11;A17;A18;A19;A28;A29;A33,,A1;A9;A10;A11;A17;A18;A19;A28;A29;A33,AGREE,,,A1;A9;A10;A11;A17;A18;A19;A28;A29;A33,1,"1–2 capsules, 2–3 times daily, after meals.",Risk Score 1/10 (Very Low),,Axis 17: Digestive function Axis 18: Microbiome ecology Axis 19: Gut barrier integrity Axis 1: Systemic inflammation ↓ Axis 9: Oxidative stress ↓ Axis 10: Mitochondrial function ↑ Axis 11: Metabolic regulation Axis 28: Muscle recovery Axis 29: Bone support Axis 33: HPA axis ↓ stress
S-00-05,TSPI-GARCINIA-META,Garcinia atroviridis / Garcinia cambogia,Garcinia atroviridis / Garcinia cambogia,A1;A9;A11;A12;A17;A18;A33,A1;A9;A11;A12;A17;A18;A33,,A1;A9;A11;A12;A17;A18;A33,AGREE,,,A1;A9;A11;A12;A17;A18;A33,1,500–1000 mg 2–3 times daily before meals.,2/10 (low),,Axis 11: Metabolic regulation Axis 12: Lipid metabolism Axis 1: Systemic inflammation ↓ Axis 9: Oxidative stress ↓ Axis 18: Microbiome ecology Axis 17: Digestive function Axis 33: HPA axis ↓ stress
S-00-06,TSPI-BRANARA-NEURO-ENDO-006,– TSPI NEURO–ENDOCRINE MASTER MODULE (Reconstructed,– TSPI NEURO–ENDOCRINE MASTER MODULE (Reconstructed,A1;A9;A18;A20;A21;A22;A33;A34;A36,A1;A9;A18;A20;A21;A22;A33;A34;A36,,A1;A9;A18;A20;A21;A22;A33;A34;A36,AGREE,,,A1;A9;A18;A20;A21;A22;A33;A34;A36,1,"1–2 capsules, 2–3 times daily.",4/10 Caution: Contains sedatives and antihypertensive drugs.,,Axis 34 — Neuroinflammation/Brain axis: Reduces inflammation in the brain. Axis 21 — Brain circulation: Increases blood flow in the brain. Axis 20 — Endothelial function: Restores blood vessels. Axis 22 — Thrombosis control: Reduces stroke risk. Axis 1 — Systemic inflammation: Reduces cytokines. Axi
12-1-05 555-5-0 056,,TOPAZ – Vascular–Prostate Modulation Formula,TOPAZ – Vascular–Prostate Modulation Formula,A1;A9;A20;A21;A22;A23;A32;A34;A35;A36,,,,XLSX_ONLY(no md),A1;A9;A20;A21;A22;A23;A32;A34;A35;A36,,A1;A9;A20;A21;A22;A23;A32;A34;A35;A36,0,,,,Axis 20: Endothelial function Axis 21: Microcirculation Axis 22: Thrombosis Axis 23: Vascular elasticity Axis 32: Androgen axis Axis 9: Oxidative stress Axis 1: NF-kB inflammation Axis 36: Oncology Axis 35: Organ reserve Axis 34: Neurovascular
HEPA 1,Phase 1–3 Detox Platform,TSPI MASTER LIVER DETOX & REGENERATION FORMULA,TSPI MASTER LIVER DETOX & REGENERATION FORMULA,A5;A6;A9;A10;A11;A15;A20;A24;A35;A36,,,,XLSX_ONLY(no md),A5;A6;A9;A10;A11;A15;A20;A24;A35;A36,,A5;A6;A9;A10;A11;A15;A20;A24;A35;A36,0,,,,Axis 15: Detoxification & Cellular Defense            Axis 10: Proteostasis–Autophagy–Lysosome    Axis 9: Oxidative Stress                                Axis 6: Lipid–Lipotoxicity                                Axis 36: Oncology                                                Axis 24–25: Fibrosis / 
HEPA 3,,Advanced Liver Protocol,Advanced Liver Protocol,A2;A5;A6;A9;A10;A15;A24;A25;A35;A36,,,,XLSX_ONLY(no md),A2;A5;A6;A9;A10;A15;A24;A25;A35;A36,,A2;A5;A6;A9;A10;A15;A24;A25;A35;A36,0,,,,Axis 15: Detoxification Axis 10: Autophagy–Proteostasis Axis 25: Fibrosis Axis 36: Oncology Axis 9: Oxidative stress Axis 6: Lipotoxicity Axis 5: Metabolic (glucose/liver) Axis 2: Immune balance Axis 24: Regeneration Axis 35: Organ Resilience & Functional Reserve (Organ Meta‑Axis)                   
HEPA2,,Hepatic Detox & Fluid Clearance System,Hepatic Detox & Fluid Clearance System,A1;A2;A4;A6;A7;A9;A10;A15;A17;A18;A23;A25;A35;A36,A1;A2;A4;A6;A7;A9;A10;A15;A17;A18;A23;A25;A35;A36,,A1;A2;A4;A6;A7;A9;A10;A15;A17;A18;A23;A25;A35;A36,AGREE,,,A1;A2;A4;A6;A7;A9;A10;A15;A17;A18;A23;A25;A35;A36,1,,,,Axis 1: Systemic inflammation ↓ Axis 2: Immune homeostasis Axis 4: Chronic inflammation reset Domain 2 (Metabolic) Axis 6: Lipotoxicity ↓ (fatty liver) Axis 7: AMPK activation Axis 9: Oxidative stress ↓ Axis 10: Autophagy ↑ Domain 4 (Detox–Gut) Axis 15: Detoxification ↑ Axis 17: Microbiome support A
KD,,KD (Kidney Defense & Regeneration System),KD (Kidney Defense & Regeneration System),A1;A2;A9;A10;A15;A20;A23;A25;A26;A35,A1;A2;A9;A10;A15;A20;A23;A25;A26;A35,,A1;A2;A9;A10;A15;A20;A23;A25;A26;A35,AGREE,,,A1;A2;A9;A10;A15;A20;A23;A25;A26;A35,1,,,,Domain 1 (Immune) Axis 1: Reduce systemic inflammation Axis 2: immune balance Domain 2 (Metabolic) Axis 9: oxidative stress ↓ Axis 10: autophagy ↑ Domain 4 (Detox) Axis 15: toxin clearance Domain 5 (Circulation) Axis 20: endothelial function Axis 23: hemodynamics Domain 6 (Repair) Axis 25: fibrosis 
BONAX,,Bone Anabolic & Anti-Resorption System,Bone Anabolic & Anti-Resorption System,A6;A7;A11;A17;A18;A25;A26;A27;A28;A29;A30,A6;A7;A11;A17;A18;A25;A26;A27;A28;A29;A30,,A6;A7;A11;A17;A18;A25;A26;A27;A28;A29;A30,AGREE,,,A6;A7;A11;A17;A18;A25;A26;A27;A28;A29;A30,1,,,,Domain 2 Axis 6: Lipid–inflammation (reduces lipotoxicity in bone marrow) Axis 7: AMPK–mTOR (bone anabolic signaling) Domain 3 Axis 11: DNA repair (osteocyte survival) Domain 4 Axis 17: Microbiome ecology Axis 18: Gut absorption Domain 6 Axis 25: ECM remodeling Axis 26: Stem cell regeneration Axis 2
Beta L,,(Lymphatic–Liver–Lung Detox System),(Lymphatic–Liver–Lung Detox System),A1;A2;A3;A15;A17;A18;A20;A34;A36,,,,XLSX_ONLY(no md),A1;A2;A3;A15;A17;A18;A20;A34;A36,,A1;A2;A3;A15;A17;A18;A20;A34;A36,0,,,,Domain 1 Axis 1: Inflammation Axis 2: Immune balance Axis 3: Host defense Domain 4 Axis 15: Detoxification Axis 17: Microbiome Axis 18: Gut barrier Domain 5 Axis 20: Endothelial inflammation Domain 10 Axis 36: Oncology Domain 9 Axis 34: Neuro–immune                    AXIS 38 Protein Clearance & Pro
BL-021,TSPI-BETAL-021,Beta L Capsule,Beta L Capsule,A1;A3;A9;A15;A17;A20;A36,A1;A3;A9;A15;A17;A20;A36,,A1;A3;A9;A15;A17;A20;A36,AGREE,,,A1;A3;A9;A15;A17;A20;A36,2,2–4 capsules (500 mg) 2–3 times daily before meals.,,,Axis 1: Systemic Inflammation Axis 3: Mucosal Immunity Axis 9: Oxidative Stress Axis 15: Detoxification Axis 17: Microbiome Axis 20: Endothelial Function Axis 36: Oncology
XM2-024,TSPI-XM2-024,XM-2 Capsule,XM-2 Capsule,A1;A3;A4;A9;A18;A24;A36,A1;A3;A4;A5;A7;A9;A18;A23;A24;A36,,A1;A3;A4;A5;A7;A9;A18;A23;A24;A36,PARTIAL,,A5;A7;A23,A1;A3;A4;A5;A7;A9;A18;A23;A24;A36,2,2–4 capsules (500 mg) 2–3 times daily before meals.,,,Axis 1: Systemic inflammation Axis 3: Host defense Axis 4: Chronic infection Axis 9: Oxidative stress Axis 18: Barrier integrity (skin) Axis 24: Wound healing Axis 36: Oncology
1,GastroReg-01,WATTA NOTHAI Capsule,WATTA NOTHAI Capsule,A1;A17;A18;A19,A1;A9;A16;A17;A18;A19;A21;A27,,A1;A9;A16;A17;A18;A19;A21;A27,PARTIAL,,A9;A16;A21;A27,A1;A9;A16;A17;A18;A19;A21;A27,2,,,,Axis 17 Digestive-Absorptive Function Axis 18 Microbiome Ecology Axis 19 Gut Barrier Integrity Axis 1 Inflammatory Load
2,VasoBalance-02,Yhateenok Capsule,Yhateenok Capsule,A9;A21;A22;A23,A9;A21;A22;A23,,A9;A21;A22;A23,AGREE,,,A9;A21;A22;A23,1,,,,Axis 21 Endothelial Function Axis 22 Microcirculation Axis 23 Thrombosis-Hemostasis Axis 9 Oxidative Stress
3,GastroShield-03,Stomma Capsule,STOMMA CAPSULE,A1;A9;A17;A19,A1;A9;A16;A17;A18;A19,A1,A1;A9;A16;A17;A18;A19,PARTIAL,,A16;A18,A1;A9;A16;A17;A18;A19,4,,,,Axis 17 Digestive Function Axis 19 Gut Barrier Integrity Axis 9 Oxidative Stress Axis 1 Inflammation
4,HemorrhoGuard-04,RID-SI Capsule,RID-SI CAPSULE,A1;A21;A25;A26,A1;A9;A21;A22;A24;A25;A26;A31,A25,A1;A9;A21;A22;A24;A25;A26;A31,PARTIAL,,A9;A22;A24;A31,A1;A9;A21;A22;A24;A25;A26;A31,5,,,,Axis 25 Wound Healing Axis 26 ECM Remodeling Axis 21 Endothelial Function Axis 1 Inflammation
5,DigestFlow-05,B-LAX Capsule,B-LAX CAPSULE,A16;A17;A20,A16;A17;A18;A20;A22;A33;A35,A16,A16;A17;A18;A20;A22;A33;A35,PARTIAL,,A18;A22;A33;A35,A16;A17;A18;A20;A22;A33;A35,4,,,,Axis 17 Digestive System Axis 20 Colon Biofilm Burden Axis 16 Detoxification
6,HematoNourish-06,Nourishing Blood Capsule,Nourishing Blood Tonic Capsule,A21;A22;A28,A1;A9;A21;A22;A25;A27;A28;A31,A14;A21,A1;A9;A14;A21;A22;A25;A27;A28;A31,PARTIAL,,A1;A9;A14;A25;A27;A31,A1;A9;A14;A21;A22;A25;A27;A28;A31,5,,,,Axis 28 Hematopoiesis Axis 22 Microcirculation Axis 21 Endothelial Function
7,DetoxColon-07,Catharic Capsule,Catharic Capsule,A16;A18;A20,A16;A18;A20,,A16;A18;A20,AGREE,,,A16;A18;A20,1,,,,Axis 20 Colon Biofilm Axis 16 Detoxification Axis 18 Microbiome
8,VentraMotion-08,YA VENTA Capsule,Ya Venta Capsule,A9;A29;A31,A1;A9;A17;A21;A22;A25;A29;A31;A33,A18,A1;A9;A17;A18;A21;A22;A25;A29;A31;A33,PARTIAL,,A1;A17;A18;A21;A22;A25;A33,A1;A9;A17;A18;A21;A22;A25;A29;A31;A33,4,,,,Axis 29 Muscle Protein Turnover Axis 31 Connective Tissue Integrity Axis 9 Oxidative Stress
9,ViralDefense-09,FEVA Capsule,FEVA CAPSULE,A1;A2;A3,A1;A2;A3;A9;A31;A32,,A1;A2;A3;A9;A31;A32,PARTIAL,,A9;A31;A32,A1;A2;A3;A9;A31;A32,2,,,,Axis 3 Pathogen Defense Axis 2 Immune Homeostasis Axis 1 Inflammation
10,NeuroCalm-10,BOVA Capsule,BOVA Capsule,A9;A32;A35,A9;A21;A22;A32;A33;A34;A35;A39,,A9;A21;A22;A32;A33;A34;A35;A39,PARTIAL,,A21;A22;A33;A34;A39,A9;A21;A22;A32;A33;A34;A35;A39,2,,,,Axis 35 Neuro-Sleep-Brain Axis 32 Hormonal Regulation Axis 9 Oxidative Stress
11,Digestive Transit & Liver-Gut Support Module,CINNARA BRAND CAPSULE,CINNARA Capsule,A1;A16;A17;A18;A35,A2;A4;A9;A16;A17;A18;A25;A33,A1;A5;A18;A35,A1;A2;A4;A5;A9;A16;A17;A18;A25;A33;A35,PARTIAL,,A2;A4;A5;A9;A25;A33,A1;A2;A4;A5;A9;A16;A17;A18;A25;A33;A35,4,,,,Axis 17 Digestive–Absorptive Axis Axis 16 Detoxification Axis Secondary Axes Axis 18 Microbiome Ecology Axis Axis 35 Neuro-Sleep-Brain Clearance Axis Axis 1 Systemic Inflammatory Load Axis
12,Dermal-Immune Restoration Module,MERDANA CAPSULE,Merdana Capsule,A1;A2;A3;A25;A31;A35,A1;A2;A3;A9;A17;A18;A21;A24;A25;A36;A39,A1;A3;A31;A35,A1;A2;A3;A9;A17;A18;A21;A24;A25;A31;A35;A36;A39,PARTIAL,,A9;A17;A18;A21;A24;A36;A39,A1;A2;A3;A9;A17;A18;A21;A24;A25;A31;A35;A36;A39,2,,,,Primary Axes Axis 2 Immune Homeostasis Axis Axis 25 Wound Healing & Tissue Repair Axis Secondary Axes Axis 1 Systemic Inflammatory Load Axis Axis 3 Pathogen Defense Axis Axis 31 Connective Tissue Integrity Axis Axis 35 Neuro-Immune stress interface (supportive)
13,Musculo-Digestive Circulation Module,YA TARANA CAPSULE,Tarana Capsule,A1;A16;A17;A21;A29;A31,A1;A9;A17;A21;A22;A24;A25;A29;A30,A1;A16;A21;A31,A1;A9;A16;A17;A21;A22;A24;A25;A29;A30;A31,PARTIAL,,A9;A22;A24;A25;A30,A1;A9;A16;A17;A21;A22;A24;A25;A29;A30;A31,2,,,,Axis 29 Muscle Protein Turnover Axis Axis 17 Digestive–Absorptive Axis Secondary Axes Axis 21 Endothelial / circulation support Axis 31 Connective Tissue Integrity Axis Axis 1 Systemic Inflammatory Load Axis Axis 16 Detoxification Axis
14,KS Systemic Reset Module,YA KS CAPSULE,KS,A1;A5;A16;A17;A18;A19,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A30;A35;A36;A38;A39,A1;A5;A16;A19,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A30;A35;A36;A38;A39,PARTIAL,,A2;A3;A4;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A20;A21;A22;A23;A24;A25;A26;A27;A30;A35;A36;A38;A39,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A30;A35;A36;A38;A39,5,,,,Primary Axes Axis 17 Digestive–Absorptive Axis Axis 18 Microbiome Ecology Axis Secondary Axes Axis 19 Gut Barrier Axis Axis 1 Systemic Inflammatory Load Axis Axis 16 Detoxification Axis Axis 5 Glucose–Insulin Regulation Axis (supportive metabolic effect)
15,Lymphatic-Inflammatory Drainage Module,MINOZA CAPSULE,Minoza,A1;A2;A16;A21;A25;A36,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A20;A21;A22;A23;A24;A25;A26;A27;A30;A33;A35;A36;A39,A2;A16;A21;A36,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A20;A21;A22;A23;A24;A25;A26;A27;A30;A33;A35;A36;A39,PARTIAL,,A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A17;A18;A20;A22;A23;A24;A26;A27;A30;A33;A35;A39,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A20;A21;A22;A23;A24;A25;A26;A27;A30;A33;A35;A36;A39,4,,,,Axis 1 Systemic Inflammatory Load Axis Axis 25 Wound Healing & Tissue Repair Axis Secondary Axes Axis 2 Immune Homeostasis Axis Axis 16 Detoxification Axis Axis 21 Microcirculation / vascular fluid burden support Axis 36 Oncology Control Axis (supportive)
16,Kerra Immune-Oncology Regulatory Module,KERRA CAPSULE,KERRA CAPSULE,A1;A2;A3;A9;A19;A36;A39,A1;A2,A3;A9;A19;A36;A39,A1;A2;A3;A9;A19;A36;A39,AGREE,,,A1;A2;A3;A9;A19;A36;A39,1,,,,Axis 2 Immune Homeostasis Axis Axis 1 Systemic Inflammatory Load Axis Secondary Axes Axis 3 Pathogen Defense Axis Axis 9 Oxidative Stress Axis Axis 19 Gut Barrier / microbiome-immune linkage Axis 36 Oncology Control Axis             AXIS 37 Protein Quality Control System Axis  AXIS 38 Protein Cleara
17,Ho-Ren Yin Restorative Elixir Module,HO REN YIN MIXTURE,HO REN YIN MIXTURE,A2;A14;A28;A29;A30;A34;A35,A1;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A31;A32;A33;A34;A35,A2;A28;A29;A30;A34;A35,A1;A2;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35,PARTIAL,,A1;A4;A5;A8;A9;A11;A13;A18;A21;A22;A23;A24;A26;A27;A31;A32;A33,A1;A2;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35,5,,,,Axis 14 Longevity Signaling Axis Axis 28 Stem Cell & Regenerative Reserve Axis Secondary Axes Axis 34 Thyroid-Adrenal-Growth Axis Axis 29 Muscle Protein Turnover Axis Axis 30 Bone Remodeling Axis Axis 2 Immune Homeostasis Axis Axis 35 Neuro-Sleep-Brain recovery axis
18,Anax Rejuvenative Movement Module,ANAX MIXTURE,ANAX MIXTURE,A1;A17;A21;A29;A31;A34,A1;A7;A13;A17;A29,A1;A14;A21;A31;A34,A1;A7;A13;A14;A17;A21;A29;A31;A34,PARTIAL,,A7;A13;A14,A1;A7;A13;A14;A17;A21;A29;A31;A34,3,,,,Axis 29 Muscle Protein Turnover Axis Axis 17 Digestive–Absorptive Axis Secondary Axes Axis 21 Endothelial / circulation support Axis 31 Connective Tissue Integrity Axis Axis 34 Thyroid-Adrenal-Growth Axis Axis 1 Systemic Inflammatory Load Axis
19,Imperial Vital Reserve Module,Deer Velvet Antler Elixir,Deer Velvet Antler Elixir,A2;A14;A28;A29;A30;A34,A14;A28,A2;A29;A30;A34,A2;A14;A28;A29;A30;A34,AGREE,,,A2;A14;A28;A29;A30;A34,1,,,,Axis 14 Longevity Signaling Axis Axis 28 Stem Cell & Regenerative Reserve Axis Secondary Axes Axis 34 Thyroid-Adrenal-Growth Axis Axis 2 Immune Homeostasis Axis Axis 29 Muscle Protein Turnover Axis Axis 30 Bone Remodeling Axis
20,AM-PUR Endocrine-Rejuvenation Module,AM-PUR,AM-PUR MIXTURE,A2;A14;A21;A29;A30;A33;A34,A5;A7;A8;A9;A11;A14;A15;A18;A21;A23;A24;A26;A28;A29;A31;A32;A33;A35,A2;A8;A21;A29;A30;A34,A2;A5;A7;A8;A9;A11;A14;A15;A18;A21;A23;A24;A26;A28;A29;A30;A31;A32;A33;A34;A35,PARTIAL,,A5;A7;A8;A9;A11;A15;A18;A23;A24;A26;A28;A31;A32;A35,A2;A5;A7;A8;A9;A11;A14;A15;A18;A21;A23;A24;A26;A28;A29;A30;A31;A32;A33;A34;A35,5,,,,Axis 33 Male Androgen Axis / sexual vitality context Axis 14 Longevity Signaling Axis Secondary Axes Axis 34 Thyroid-Adrenal-Growth Axis Axis 29 Muscle Protein Turnover Axis Axis 30 Bone Remodeling Axis Axis 21 Endothelial Function Axis Axis 2 Immune Homeostasis Axis
21,Anti-Inflammatory Joint & Circulation Module,KIMLUY BRAND YELLOW OIL,KIMLUY BRAND YELLOW OIL,A1;A21;A29;A31,A5;A20;A23;A29;A31,A21,A5;A20;A21;A23;A29;A31,PARTIAL,A1,A5;A20;A23,A1;A5;A20;A21;A23;A29;A31,2,,,,Axis 29 Muscle Function Axis 31 Connective Tissue Secondary Axis 1 Inflammation Axis 21 Endothelial circulation
